ID,tweet,fecha,usuario,dispositivo
1305216229557383170,"nuestro amado líder #AMLO ordena que todo el odio sea contra borolas @FelipeCalderon 

El licendiado Peña Nieto ha sido PERDONADO y PURIFICADO por nuestro precidente https://t.co/HyMp9JeFgd",2020-09-13 18:46:13,DanielMalpica95,Twitter Web App
1305215572364406787,"@mikeskywalker21 @Conacyt_MX @lopezobrador_ Si en lo que va de su gobierno #amlo se ha dedicado a denostar a académicos y científicos. Para él es mejor ""fuerza moral"" que preparación académica.",2020-09-13 18:43:36,herz_kary_liebe,Twitter for Android
1305215335944130562,@CarlosLoret La estúpidez de  #AMLO,2020-09-13 18:42:40,DonEmpresa,Twitter for Android
1305214789019463680,La ampliación de la Línea 12 del Metro se entregará a finales del 2022: #AMLO  https://t.co/fR1d4xMikd,2020-09-13 18:40:30,scarrillotv,Twitter for iPhone
1305214469019185153,"@gibranrr PERO, si son las bases de #amlo. El caciquismo es una forma distorsionada de gobierno donde un líder político tiene/quiere un dominio total de una sociedad expresada como un clientelismo político. Además odia las instituciones.
Como quieres dirigir algo que no conoces.",2020-09-13 18:39:13,GuillenSelene,Twitter for iPhone
1305214248419815425,Conmemora #AMLO el 173 Aniversario de la Gesta Heroica de los Niños Héroes de Chapultepec https://t.co/cGI3hEnoxP,2020-09-13 18:38:21,scarrillotv,Twitter Web App
1305213886371684353,#AMLO AMPLIACION DE LA LINEA  12 DEL METRO DESDE ALVARO OBREGON https://t.co/MIKJu9G2OA via @YouTube,2020-09-13 18:36:54,MEXICOALDIA_,Twitter Web App
1305213513250598917,"Urgidos en tapar la corrupción de #AMLO #LopezInmundoCorrupto
#LopezMexicoTeRepudia

En plena pandemia, diputados de #MorenaCuevaDeLadrones piden apoyar juicio a expresidentes en Xalapa https://t.co/A44VjBk9ni",2020-09-13 18:35:25,whiten_espresso,Twitter for Android
1305213060479553536,"""Juntos Haremos Historia"" Por más equipos médicos y mejores hospitales, apoyemos a #AMLO 
#EsUnHonorEstarConObrador 
#EsUnHonorCausarlesTantoArdor
#EsUnHonorSeguirConObrador https://t.co/rqcqyJ6FtO",2020-09-13 18:33:37,Arce_Ramses,Twitter for Android
1305212952899977216,Directito para todos los #politicos #demexico #expresidentes #AMLO #Corruption  aprendan de este señor! https://t.co/RUORjbZxKJ,2020-09-13 18:33:12,LuzBrillantina,Twitter for iPhone
1305212904883597312,"Estamos en la colonia Valle Dorado, en Naucalpan, en la recolección de firmas para lograr llevar a juicio a ex-presidentes.

¿Ustedes ya firmaron?

#AMLO #Morena #TrabajoDeBase #4T https://t.co/C00rGXnZPm",2020-09-13 18:33:00,morena_colectiv,Twitter for Android
1305212300392124416,"#AMLO ¡AHORA MISMO! EL TUMBARROSS, ENRIQUE ALFARO, CUAUHTÉMOC BLANCO, SILVANO AUREOLES, SAMUEL GARCÍA Y MÁS SE DISPUTAN ESTA SEMANA CON TODO EL PREMIO MÁS PRESTIGIOSO EN REDES SOCIALE ""LA BURRADA DE LA SEMANA""https://t.co/Z808Bp7mhc",2020-09-13 18:30:36,gallotal,Twitter Web App
1305212048675086336,"Así en #Torreon con #Amlo. No soy fan de él ni de CAlderon ni de ningún político, pero creo que esto es perder el tiempo, esto no va a pasar... https://t.co/hAyrpdcYU1",2020-09-13 18:29:36,LagunaDuquesa,Twitter for iPhone
1305211996925841409,"Está más que claro lo del alboroto en Chihuahua, los terratenientes se están dando a conocer, qué Gran casualidad que desde 1944 está este acuerdo y ya pasaron muchos sexenios y justo ahora en el gobierno del presidente #amlo salen en defensa del agua? Ese acuerdo no lo hizo él! https://t.co/UiOTquKoYF",2020-09-13 18:29:24,JGmanue,Twitter for Android
1305211120442015744,"⚡️#AMLO inaugura Línea 3 del tren ligero en #Guadalajara y se compromete a continuar con la 4 

📌 La Línea 3 tiene una longitud de 21.5 kilómetros y cuenta con 18 estaciones, 13 elevadas y 5 subterráneas.

https://t.co/7JKh1TRiw1",2020-09-13 18:25:55,vikoacevedo,Twitter for iPhone
